symbol,industry
360ONE,Financial Services
3MINDIA,Diversified
AADHARHFC,Financial Services
AARTIDRUGS,Healthcare
AARTIIND,Chemicals
AARTIPHARM,Healthcare
AAVAS,Financial Services
ABB,Capital Goods
ABBOTINDIA,Healthcare
ABCAPITAL,Financial Services
ABDL,Fast Moving Consumer Goods
ABFRL,Consumer Services
ABLBL,Consumer Services
ABREL,Realty
ABSLAMC,Financial Services
ACC,Construction Materials
ACE,Capital Goods
ACI,Chemicals
ACMESOLAR,Power
ACUTAAS,Healthcare
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ADVENZYMES,Healthcare
AEGISLOG,Oil Gas & Consumable Fuels
AEGISVOPAK,Oil Gas & Consumable Fuels
AEQUS,Capital Goods
AETHER,Chemicals
AFCONS,Construction
AFFLE,Information Technology
AGARWALEYE,Healthcare
AGL,Services
AHLUCONT,Construction
AIAENG,Capital Goods
AIIL,Financial Services
AJANTPHARM,Healthcare
AKUMS,Healthcare
ALIVUS,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALOKINDS,Textiles
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANGELONE,Financial Services
ANTHEM,Healthcare
ANUP,Capital Goods
ANURAS,Chemicals
APARINDS,Capital Goods
APLAPOLLO,Capital Goods
APLLTD,Healthcare
APOLLO,Capital Goods
APOLLOHOSP,Healthcare
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ARE&M,Automobile and Auto Components
ARVIND,Textiles
ARVINDFASN,Consumer Services
ASAHIINDIA,Automobile and Auto Components
ASHAPURMIN,Metals & Mining
ASHOKA,Construction
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASKAUTOLTD,Automobile and Auto Components
ASTERDM,Healthcare
ASTRAL,Capital Goods
ASTRAMICRO,Capital Goods
ATGL,Oil Gas & Consumable Fuels
ATHERENERG,Automobile and Auto Components
ATLANTAELE,Capital Goods
ATUL,Chemicals
AUBANK,Financial Services
AURIONPRO,Information Technology
AUROPHARMA,Healthcare
AVALON,Capital Goods
AVANTIFEED,Fast Moving Consumer Goods
AVL,Consumer Services
AWFIS,Services
AWL,Fast Moving Consumer Goods
AXISBANK,Financial Services
AXISCADES,Capital Goods
AZAD,Capital Goods
BAJAJ-AUTO,Automobile and Auto Components
BAJAJELEC,Consumer Durables
BAJAJFINSV,Financial Services
BAJAJHFL,Financial Services
BAJAJHLDNG,Financial Services
BAJFINANCE,Financial Services
BALAMINES,Chemicals
BALKRISIND,Automobile and Auto Components
BALRAMCHIN,Fast Moving Consumer Goods
BALUFORGE,Capital Goods
BANCOINDIA,Automobile and Auto Components
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BBOX,Information Technology
BBTC,Fast Moving Consumer Goods
BDL,Capital Goods
BECTORFOOD,Fast Moving Consumer Goods
BEL,Capital Goods
BELRISE,Automobile and Auto Components
BEML,Capital Goods
BERGEPAINT,Consumer Durables
BHARATFORG,Automobile and Auto Components
BHARTIARTL,Telecommunication
BHARTIHEXA,Telecommunication
BHEL,Capital Goods
BIKAJI,Fast Moving Consumer Goods
BIOCON,Healthcare
BIRLACORPN,Construction Materials
BLACKBUCK,Services
BLS,Consumer Services
BLUEDART,Services
BLUEJET,Healthcare
BLUESTARCO,Consumer Durables
BLUESTONE,Consumer Durables
BORORENEW,Capital Goods
BOSCHLTD,Automobile and Auto Components
BPCL,Oil Gas & Consumable Fuels
BRIGADE,Realty
BRITANNIA,Fast Moving Consumer Goods
BSE,Financial Services
BSOFT,Information Technology
CAMPUS,Consumer Durables
CAMS,Financial Services
CANBK,Financial Services
CANFINHOME,Financial Services
CANHLIFE,Financial Services
CAPILLARY,Information Technology
CAPLIPOINT,Healthcare
CARBORUNIV,Capital Goods
CARTRADE,Consumer Services
CASTROLIND,Oil Gas & Consumable Fuels
CCAVENUE,Financial Services
CCL,Fast Moving Consumer Goods
CDSL,Financial Services
CEATLTD,Automobile and Auto Components
CELLO,Consumer Durables
CEMPRO,Construction
CENTRALBK,Financial Services
CENTURYPLY,Consumer Durables
CERA,Consumer Durables
CESC,Power
CGCL,Financial Services
CGPOWER,Capital Goods
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOICEIN,Financial Services
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Automobile and Auto Components
CIPLA,Healthcare
CLEAN,Chemicals
CMSINFO,Services
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COHANCE,Healthcare
COLPAL,Fast Moving Consumer Goods
CONCOR,Services
