VWAP,change,high,lastPrice,lastUpdatedTime,low,marketType,pChange,quantityTraded,series,symbol,totalTradedVolume,index_name
412.9,15.1,417.45,416.7,26-Aug-2026 16:00:29,401,N,3.76,8327778035.5,EQ,KOTAKBANK,20168995,NIFTY 50
1251.74,20,1257.7,1255,26-Aug-2026 16:00:29,1238.2,N,1.62,4128571482.84,EQ,AXISBANK,3298266,NIFTY 50
1326.56,20.7,1341,1341,26-Aug-2026 16:00:29,1310.4,N,1.57,2513544663.04,EQ,JSWSTEEL,1894784,NIFTY 50
11711.59,177,11820,11717,26-Aug-2026 16:00:29,11580,N,1.53,2435179197.11,EQ,ULTRACEMCO,207929,NIFTY 50
558.17,6.3,563.5,553,26-Aug-2026 16:00:29,549.1,N,1.15,2131383866.57,EQ,HDFCLIFE,3818521,NIFTY 50
1775.81,13.2,1789,1768.2,26-Aug-2026 16:00:29,1760.5,N,0.75,1851612225.66,EQ,SBILIFE,1042686,NIFTY 50
5250.81,32.5,5280,5250.5,26-Aug-2026 16:00:29,5221.5,N,0.62,3069854561.64,EQ,INDIGO,584644,NIFTY 50
186.62,1.07,189.95,188.01,26-Aug-2026 16:00:29,184.29,N,0.57,6009028513.88,EQ,TATASTEEL,32199274,NIFTY 50
1437.4,7.3,1446,1430,26-Aug-2026 16:00:29,1423.1,N,0.51,6004114668.4,EQ,ICICIBANK,4177066,NIFTY 50
1056.71,4,1062.3,1052,26-Aug-2026 16:00:29,1051.2,N,0.38,6190311794.29,EQ,SBIN,5858099,NIFTY 50
3285.68,10.3,3310,3299.9,26-Aug-2026 16:00:29,3262.4,N,0.31,3655036431.52,EQ,GRASIM,1112414,NIFTY 50
2013.47,6,2024.9,2010,26-Aug-2026 16:00:29,2005.5,N,0.30,1135889033.15,EQ,BAJAJFINSV,564145,NIFTY 50
1050.86,1.95,1059.5,1053,26-Aug-2026 16:00:29,1039.15,N,0.19,2406367466.58,EQ,HINDALCO,2289903,NIFTY 50
3133.81,2,3165,3112,26-Aug-2026 16:00:29,3092.8,N,0.06,6407792187.49,EQ,ADANIENT,2044729,NIFTY 50
727.49,-0.3,731,727.2,26-Aug-2026 16:00:29,724.15,N,-0.04,15391115267.87,EQ,HDFCBANK,21156463,NIFTY 50
403.65,-0.5,405.4,403.5,26-Aug-2026 16:00:29,401.4,N,-0.12,2065954567.95,EQ,COALINDIA,5118183,NIFTY 50
2032.41,-3.2,2051.9,2021,26-Aug-2026 16:00:29,2021,N,-0.16,1555490766.63,EQ,HINDUNILVR,765343,NIFTY 50
1087.78,-2.4,1095,1085,26-Aug-2026 16:00:29,1082.4,N,-0.22,3518834503.06,EQ,BAJFINANCE,3234877,NIFTY 50
8071.68,-20,8112,8035,26-Aug-2026 16:00:29,8031.5,N,-0.25,1600775577.6,EQ,EICHERMOT,198320,NIFTY 50
315.23,-1.15,316.4,313.1,26-Aug-2026 16:00:29,313.1,N,-0.37,1825650447.01,EQ,TMPV,5791487,NIFTY 50
271.83,-1.15,273.95,270.25,26-Aug-2026 16:00:29,270.25,N,-0.42,3178607951.61,EQ,ITC,11693367,NIFTY 50
5108.88,-24.8,5149.9,5100,26-Aug-2026 16:00:29,5091,N,-0.48,1929199938.96,EQ,TITAN,377617,NIFTY 50
2649.1,-13.3,2678.7,2626.5,26-Aug-2026 16:00:29,2626.5,N,-0.50,898336301,EQ,ASIANPAINT,339110,NIFTY 50
1700.06,-11.2,1719.7,1691.5,26-Aug-2026 16:00:29,1690.5,N,-0.66,3293449735.3,EQ,ADANIPORTS,1937255,NIFTY 50
2924.07,-21.8,2954.8,2908.2,26-Aug-2026 16:00:29,2906.2,N,-0.74,1366467620.19,EQ,TRENT,467317,NIFTY 50
232.66,-1.79,234.21,232.21,26-Aug-2026 16:00:29,230.79,N,-0.76,1512365149.18,EQ,ONGC,6500323,NIFTY 50
243.12,-2.15,245,241,26-Aug-2026 16:00:29,241,N,-0.88,1656748776.72,EQ,JIOFIN,6814531,NIFTY 50
1188.9,-11.5,1197.2,1182,26-Aug-2026 16:00:29,1180.1,N,-0.96,2369663168.4,EQ,DRREDDY,1993156,NIFTY 50
1015.4,-11,1023.8,1005,26-Aug-2026 16:00:29,1000.5,N,-1.08,1368842462.8,EQ,MAXHEALTH,1348082,NIFTY 50
2277.39,-26.2,2306.3,2270,26-Aug-2026 16:00:29,2266.4,N,-1.14,3782145836.43,EQ,TCS,1660737,NIFTY 50
13606.18,-158,13750,13520,26-Aug-2026 16:00:29,13514,N,-1.16,2681954958.34,EQ,MARUTI,197113,NIFTY 50
1911.57,-22.5,1926.9,1899.5,26-Aug-2026 16:00:29,1899.5,N,-1.17,1240312636.65,EQ,SUNPHARMA,648845,NIFTY 50
327.78,-4,332,327,26-Aug-2026 16:00:29,325,N,-1.21,12864331181.88,EQ,ETERNAL,39246846,NIFTY 50
1046.99,-13.4,1063.5,1047.1,26-Aug-2026 16:00:29,1039.6,N,-1.26,1119550594.96,EQ,TATACONSUM,1069304,NIFTY 50
3425.67,-44.8,3447.9,3398.2,26-Aug-2026 16:00:29,3398.2,N,-1.30,2356042224.87,EQ,M&M,687761,NIFTY 50
1304.83,-17.3,1323,1298.5,26-Aug-2026 16:00:29,1296.6,N,-1.31,1089435187.75,EQ,HCLTECH,834925,NIFTY 50
1411.13,-19.3,1419.4,1402.7,26-Aug-2026 16:00:29,1401.1,N,-1.36,1291879637.09,EQ,CIPLA,915493,NIFTY 50
8801.07,-122.5,8868,8766.5,26-Aug-2026 16:00:29,8763.5,N,-1.38,1325696373.03,EQ,APOLLOHOSP,150629,NIFTY 50
1305.66,-19,1315.6,1298,26-Aug-2026 16:00:29,1298,N,-1.44,7500329922.84,EQ,RELIANCE,5744474,NIFTY 50
178.27,-2.74,180.95,177.35,26-Aug-2026 16:00:29,176.66,N,-1.52,1667854187.52,EQ,WIPRO,9355776,NIFTY 50
340.11,-5.25,344.45,334.6,26-Aug-2026 16:00:29,334.6,N,-1.54,2007791089.38,EQ,NTPC,5903358,NIFTY 50
408.99,-6.35,412.3,406.9,26-Aug-2026 16:00:29,406.9,N,-1.54,3121009233.84,EQ,BEL,7631016,NIFTY 50
11807.3,-203,11924,11724,26-Aug-2026 16:00:29,11724,N,-1.70,1969906317.4,EQ,BAJAJ-AUTO,166838,NIFTY 50
1579.51,-28.9,1614.9,1571,26-Aug-2026 16:00:29,1565.8,N,-1.81,2590112088.2,EQ,TECHM,1639820,NIFTY 50
1123.14,-21,1142,1117.5,26-Aug-2026 16:00:29,1105,N,-1.84,4214725488.78,EQ,SHRIRAMFIN,3752627,NIFTY 50
1458.38,-27.5,1479,1451.5,26-Aug-2026 16:00:29,1450.8,N,-1.86,912801500.38,EQ,NESTLEIND,625901,NIFTY 50
4074.14,-80.9,4124.9,4038.1,26-Aug-2026 16:00:29,4038.1,N,-1.96,5641335359.66,EQ,LT,1384669,NIFTY 50
1125.69,-24,1142,1120,26-Aug-2026 16:00:29,1118.3,N,-2.10,7118845548.96,EQ,INFY,6323984,NIFTY 50
