key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,chart365dPath,chart30dPath,chartTodayPath
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24614.9,-159.4,-0.64,24703.9,24703.9,24427.95,24774.3,26373.2,22182.55,0,20.9,3.02,1.26,35,14,1,-0.44,1.42,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,24270.85,23985.35,24565.35,24614.9,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,74210.55,-398.15,-0.53,74551.5,74667.2,74037.15,74608.7,74667.2,59896.1,0,19.75,3.5,1.13,33,15,2,10.9,2.69,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,72268.95,72087.45,66192.8,74210.55,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57907.2,-340.75,-0.58,58068.95,58068.95,57352.65,58247.95,61764.85,49954.85,0,13.76,1.75,0.77,8,3,3,4.11,-0.05,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,57938.5,56755.6,55617.6,57907.2,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26844.7,-139.75,-0.52,26941.05,26941.05,26594.3,26984.45,28562.5,23373.95,0,16.58,2.53,1.04,16,4,0,1.39,-0.11,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,26875.05,26024.2,26492.5,26844.7,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14871.5,-26.65,-0.18,14906.4,14908.85,14790.0,14898.15,14908.85,12046.2,0,35.4,4.65,0.58,15,8,2,15.63,2.24,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,14545.9,14541.05,12668.25,14871.5,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25719.15,-161.3,-0.62,25816.8,25816.8,25553.4,25880.45,26975.15,22720.45,0,20.68,3.1,1.24,68,29,3,1.54,1.65,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,25301.9,25046.95,25149.6,25719.15,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14235.2,-79.8,-0.56,14289.55,14289.55,14154.05,14315.0,14700.95,12396.1,0,22.18,3.32,1.1,134,59,7,3.21,1.74,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,13992.05,13886.35,13678.5,14235.2,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23690.15,-112.7,-0.47,23771.45,23771.45,23573.6,23802.85,24144.2,20385.65,0,23.23,3.38,1.04,312,181,7,3.63,1.67,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,23301.15,23114.9,22673.65,23690.15,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,18215.85,-86.0,-0.47,18306.55,18306.55,18127.9,18301.85,18306.55,14804.55,0,36.51,4.61,0.58,34,14,2,12.6,2.43,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,17783.25,17973.9,15963.15,18215.85,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,63491.6,-187.7,-0.29,63739.9,63740.85,63278.95,63679.3,63740.85,52032.85,0,31.22,4.65,0.58,66,30,4,10.55,2.09,01-Aug-2025,03-Jul-2026,04-Aug-2026,28-Jul-2026,62190.3,62351.5,56637.15,63491.6,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-100.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-100.svg
