priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange
1,NIFTY TOTAL MARKET,17.7,NIFTY TOTAL MARKET,,,13147.35,3704871121,13213.45,13213.45,13137.95,13129.65,1079485843872.46,13548.0,11436.55,,2026-07-03 18:34:51,0,-0.7,3.91,04-Jul-2025,04-Jun-2026,2.9572630646589904,-14.959056708535353,,,,0.13
0,POLICYBZREQN,-96.1,POLICYBZR,EQ,N,1586.0,23208962,1620.0,1620.2,1545.5,1682.1,36939151829.58,1974.0,1364.0,547286106456.32,2026-07-03 16:00:26,0,-12.33,0.48,03-Jul-2025,03-Jun-2026,19.655521783181356,-16.275659824046922,,,PB FINTECH LIMITED,-5.71
0,ZENSARTECHEQN,46.85,ZENSARTECH,EQ,N,514.2,60755207,478.5,522.4,478.5,467.35,30824761823.52,881.0,423.0,58432625808.44,2026-07-03 16:00:26,0,-39.68,0.87,03-Jul-2025,03-Jun-2026,41.634506242905786,-21.56028368794326,,,ZENSAR TECHNOLOGIES LIMITED,10.02
0,CGPOWEREQN,-65.0,CGPOWER,EQ,N,894.4,24732145,911.4,926.0,887.1,959.4,22332879613.55,980.9,525.5,611566138324.36,2026-07-03 16:00:26,0,34.0,-1.35,03-Jul-2025,03-Jun-2026,8.818432052196963,-70.19980970504281,,,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,-6.78
0,POWERINDIAEQN,-2730.0,POWERINDIA,EQ,N,31045.0,684714,32085.0,32085.0,30400.0,33775.0,21367924575.12,38785.0,16111.0,393802514315.66,2026-07-03 16:00:26,0,57.11,-11.78,03-Jul-2025,03-Jun-2026,19.956168621889905,-92.69443237539569,,,HITACHI ENERGY INDIA LIMITED,-8.08
0,HDFCBANKEQN,5.6,HDFCBANK,EQ,N,801.5,25871958,803.0,807.0,798.55,795.9,20772077639.04,1020.5,726.65,12239633604214.39,2026-07-03 16:00:26,0,-19.33,6.35,03-Jul-2025,03-Jun-2026,21.460068593826556,-10.30069497006812,,,HDFC BANK LIMITED,0.7
0,ICICIBANKEQN,12.7,ICICIBANK,EQ,N,1412.7,12901785,1414.0,1420.0,1405.9,1400.0,18221190955.5,1500.0,1187.6,10091988558654.83,2026-07-03 16:00:26,0,-0.93,13.74,03-Jul-2025,03-Jun-2026,5.82,-18.954193331087907,,,ICICI BANK LIMITED,0.91
0,GVT&DEQN,-377.8,GVT&D,EQ,N,4445.0,3832553,4581.6,4581.6,4320.0,4822.8,16995992835.92,5650.0,2265.0,549257740627.3,2026-07-03 16:00:26,0,88.92,-10.46,03-Jul-2025,03-Jun-2026,21.327433628318584,-96.24724061810154,,,GE VERNOVA T&D INDIA LIMITED,-7.83
0,APOLLOEQN,8.8,APOLLO,EQ,N,448.35,35471294,443.0,466.5,441.9,439.55,16135891640.6,466.5,162.34,72253415350.07,2026-07-03 16:00:26,0,138.73,10.01,03-Jul-2025,03-Jun-2026,3.8906752411575565,-176.1796230134286,,,APOLLO MICRO SYSTEMS LIMITED,2.0
0,HCLTECHEQN,61.9,HCLTECH,EQ,N,1140.0,12768463,1127.1,1159.0,1115.1,1078.1,14513018099.69,1780.1,1030.0,1198523350635.87,2026-07-03 16:00:26,0,-33.41,-3.31,03-Jul-2025,03-Jun-2026,35.95865400820178,-10.679611650485437,,,HCL TECHNOLOGIES LIMITED,5.74
0,SUMICHEMEQN,59.8,SUMICHEM,EQ,N,501.0,29488311,443.0,509.4,442.3,441.2,14376141378.72,665.0,362.6,61327410576.6,2026-07-03 16:00:26,0,-5.09,3.77,03-Jul-2025,03-Jun-2026,24.661654135338345,-38.168781025923884,,,SUMITOMO CHEMICAL INDIA LIMITED,13.55
