symbol,sectors,close,ret_30d,rs_rank,rvol,deliv_per,avg_deliv_20,pct_of_52wk_high,ext_pct,sig_low,accum_5,in_priority,is_new,grade,d
UDS,—,236.61,13.7,0.85,3.98,63.5,51.4,89.0,9.0,230.42,4.0,0,0,A,2026-09-03
GUJTHEM,—,425.1,19.3,0.89,2.77,66.3,54.2,89.0,10.0,412.85,4.0,0,1,A,2026-09-03
SOLARINDS,"NIFTY CHEMICALS, NIFTY IND DEFENCE",21500.0,15.5,0.86,2.73,37.9,36.0,99.0,8.0,20630.0,5.0,0,0,A,2026-09-03
APLAPOLLO,NIFTY METAL,2159.4,17.9,0.88,2.11,56.5,52.7,94.0,2.0,2136.5,4.0,0,0,A,2026-09-03
CINELINE,—,89.83,11.8,0.82,2.1,82.6,81.4,92.0,1.0,88.0,5.0,0,0,A,2026-09-03
APCOTEXIND,—,650.4,16.0,0.87,1.94,51.0,49.2,91.0,5.0,627.65,3.0,0,0,A,2026-09-03
GROWWNET,—,10.79,10.7,0.8,1.88,87.8,73.1,95.0,1.0,10.7,3.0,0,1,A,2026-09-03
REDINGTON,Services,372.45,42.1,0.97,1.73,44.3,36.6,98.0,6.0,364.6,3.0,0,0,A,2026-09-03
IIFL,Financial Services,643.4,13.1,0.84,1.89,52.5,50.5,91.0,0.0,637.7,2.0,0,0,B,2026-09-03
GNFC,Chemicals,587.35,18.1,0.89,1.69,49.6,49.3,95.0,2.0,582.55,2.0,0,0,B,2026-09-03
